# Outputting data by phi for R(EZ), I(EZ), R(EXY), I(EXY)
# We have 1 phi-specific tables, each of
# which contains nthetas = 901 rows by nfreqs = 2 columns;# The thetas are: 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 1 1.05 1.1 1.15 1.2 1.25 1.3 1.35 1.4 1.45 1.5 1.55 1.6 1.65 1.7 1.75 1.8 1.85 1.9 1.95 2 2.05 2.1 2.15 2.2 2.25 2.3 2.35 2.4 2.45 2.5 2.55 2.6 2.65 2.7 2.75 2.8 2.85 2.9 2.95 3 3.05 3.1 3.15 3.2 3.25 3.3 3.35 3.4 3.45 3.5 3.55 3.6 3.65 3.7 3.75 3.8 3.85 3.9 3.95 4 4.05 4.1 4.15 4.2 4.25 4.3 4.35 4.4 4.45 4.5 4.55 4.6 4.65 4.7 4.75 4.8 4.85 4.9 4.95 5 5.05 5.1 5.15 5.2 5.25 5.3 5.35 5.4 5.45 5.5 5.55 5.6 5.65 5.7 5.75 5.8 5.85 5.9 5.95 6 6.05 6.1 6.15 6.2 6.25 6.3 6.35 6.4 6.45 6.5 6.55 6.6 6.65 6.7 6.75 6.8 6.85 6.9 6.95 7 7.05 7.1 7.15 7.2 7.25 7.3 7.35 7.4 7.45 7.5 7.55 7.6 7.65 7.7 7.75 7.8 7.85 7.9 7.95 8 8.05 8.1 8.15 8.2 8.25 8.3 8.35 8.4 8.45 8.5 8.55 8.6 8.65 8.7 8.75 8.8 8.85 8.9 8.95 9 9.05 9.1 9.15 9.2 9.25 9.3 9.35 9.4 9.45 9.5 9.55 9.6 9.65 9.7 9.75 9.8 9.85 9.9 9.95 10 10.05 10.1 10.15 10.2 10.25 10.3 10.35 10.4 10.45 10.5 10.55 10.6 10.65 10.7 10.75 10.8 10.85 10.9 10.95 11 11.05 11.1 11.15 11.2 11.25 11.3 11.35 11.4 11.45 11.5 11.55 11.6 11.65 11.7 11.75 11.8 11.85 11.9 11.95 12 12.05 12.1 12.15 12.2 12.25 12.3 12.35 12.4 12.45 12.5 12.55 12.6 12.65 12.7 12.75 12.8 12.85 12.9 12.95 13 13.05 13.1 13.15 13.2 13.25 13.3 13.35 13.4 13.45 13.5 13.55 13.6 13.65 13.7 13.75 13.8 13.85 13.9 13.95 14 14.05 14.1 14.15 14.2 14.25 14.3 14.35 14.4 14.45 14.5 14.55 14.6 14.65 14.7 14.75 14.8 14.85 14.9 14.95 15 15.05 15.1 15.15 15.2 15.25 15.3 15.35 15.4 15.45 15.5 15.55 15.6 15.65 15.7 15.75 15.8 15.85 15.9 15.95 16 16.05 16.1 16.15 16.2 16.25 16.3 16.35 16.4 16.45 16.5 16.55 16.6 16.65 16.7 16.75 16.8 16.85 16.9 16.95 17 17.05 17.1 17.15 17.2 17.25 17.3 17.35 17.4 17.45 17.5 17.55 17.6 17.65 17.7 17.75 17.8 17.85 17.9 17.95 18 18.05 18.1 18.15 18.2 18.25 18.3 18.35 18.4 18.45 18.5 18.55 18.6 18.65 18.7 18.75 18.8 18.85 18.9 18.95 19 19.05 19.1 19.15 19.2 19.25 19.3 19.35 19.4 19.45 19.5 19.55 19.6 19.65 19.7 19.75 19.8 19.85 19.9 19.95 20 20.05 20.1 20.15 20.2 20.25 20.3 20.35 20.4 20.45 20.5 20.55 20.6 20.65 20.7 20.75 20.8 20.85 20.9 20.95 21 21.05 21.1 21.15 21.2 21.25 21.3 21.35 21.4 21.45 21.5 21.55 21.6 21.65 21.7 21.75 21.8 21.85 21.9 21.95 22 22.05 22.1 22.15 22.2 22.25 22.3 22.35 22.4 22.45 22.5 22.55 22.6 22.65 22.7 22.75 22.8 22.85 22.9 22.95 23 23.05 23.1 23.15 23.2 23.25 23.3 23.35 23.4 23.45 23.5 23.55 23.6 23.65 23.7 23.75 23.8 23.85 23.9 23.95 24 24.05 24.1 24.15 24.2 24.25 24.3 24.35 24.4 24.45 24.5 24.55 24.6 24.65 24.7 24.75 24.8 24.85 24.9 24.95 25 25.05 25.1 25.15 25.2 25.25 25.3 25.35 25.4 25.45 25.5 25.55 25.6 25.65 25.7 25.75 25.8 25.85 25.9 25.95 26 26.05 26.1 26.15 26.2 26.25 26.3 26.35 26.4 26.45 26.5 26.55 26.6 26.65 26.7 26.75 26.8 26.85 26.9 26.95 27 27.05 27.1 27.15 27.2 27.25 27.3 27.35 27.4 27.45 27.5 27.55 27.6 27.65 27.7 27.75 27.8 27.85 27.9 27.95 28 28.05 28.1 28.15 28.2 28.25 28.3 28.35 28.4 28.45 28.5 28.55 28.6 28.65 28.7 28.75 28.8 28.85 28.9 28.95 29 29.05 29.1 29.15 29.2 29.25 29.3 29.35 29.4 29.45 29.5 29.55 29.6 29.65 29.7 29.75 29.8 29.85 29.9 29.95 30 30.05 30.1 30.15 30.2 30.25 30.3 30.35 30.4 30.45 30.5 30.55 30.6 30.65 30.7 30.75 30.8 30.85 30.9 30.95 31 31.05 31.1 31.15 31.2 31.25 31.3 31.35 31.4 31.45 31.5 31.55 31.6 31.65 31.7 31.75 31.8 31.85 31.9 31.95 32 32.05 32.1 32.15 32.2 32.25 32.3 32.35 32.4 32.45 32.5 32.55 32.6 32.65 32.7 32.75 32.8 32.85 32.9 32.95 33 33.05 33.1 33.15 33.2 33.25 33.3 33.35 33.4 33.45 33.5 33.55 33.6 33.65 33.7 33.75 33.8 33.85 33.9 33.95 34 34.05 34.1 34.15 34.2 34.25 34.3 34.35 34.4 34.45 34.5 34.55 34.6 34.65 34.7 34.75 34.8 34.85 34.9 34.95 35 35.05 35.1 35.15 35.2 35.25 35.3 35.35 35.4 35.45 35.5 35.55 35.6 35.65 35.7 35.75 35.8 35.85 35.9 35.95 36 36.05 36.1 36.15 36.2 36.25 36.3 36.35 36.4 36.45 36.5 36.55 36.6 36.65 36.7 36.75 36.8 36.85 36.9 36.95 37 37.05 37.1 37.15 37.2 37.25 37.3 37.35 37.4 37.45 37.5 37.55 37.6 37.65 37.7 37.75 37.8 37.85 37.9 37.95 38 38.05 38.1 38.15 38.2 38.25 38.3 38.35 38.4 38.45 38.5 38.55 38.6 38.65 38.7 38.75 38.8 38.85 38.9 38.95 39 39.05 39.1 39.15 39.2 39.25 39.3 39.35 39.4 39.45 39.5 39.55 39.6 39.65 39.7 39.75 39.8 39.85 39.9 39.95 40 40.05 40.1 40.15 40.2 40.25 40.3 40.35 40.4 40.45 40.5 40.55 40.6 40.65 40.7 40.75 40.8 40.85 40.9 40.95 41 41.05 41.1 41.15 41.2 41.25 41.3 41.35 41.4 41.45 41.5 41.55 41.6 41.65 41.7 41.75 41.8 41.85 41.9 41.95 42 42.05 42.1 42.15 42.2 42.25 42.3 42.35 42.4 42.45 42.5 42.55 42.6 42.65 42.7 42.75 42.8 42.85 42.9 42.95 43 43.05 43.1 43.15 43.2 43.25 43.3 43.35 43.4 43.45 43.5 43.55 43.6 43.65 43.7 43.75 43.8 43.85 43.9 43.95 44 44.05 44.1 44.15 44.2 44.25 44.3 44.35 44.4 44.45 44.5 44.55 44.6 44.65 44.7 44.75 44.8 44.85 44.9 44.95 45 
# The freqs are: 100 1000  (MHz)



# All phi-freq for phi 0
0 -8.27118e-19 2.02946e-18 -6.48838e-37 2.97488e-37         -1.10833e-18 -2.37034e-19 -2.71221e-36 -2.63846e-36         
0.05 -8.27916e-19 2.03148e-18 -6.46525e-37 2.98333e-37         -1.10931e-18 -2.37098e-19 -2.71404e-36 -2.63647e-36         
0.1 -8.28642e-19 2.03353e-18 -6.51399e-37 3.06233e-37         -1.11038e-18 -2.36895e-19 -2.73874e-36 -2.63827e-36         
0.15 -8.29298e-19 2.03561e-18 -6.58584e-37 3.10523e-37         -1.11152e-18 -2.36423e-19 -2.7365e-36 -2.64181e-36         
0.2 -8.29882e-19 2.03773e-18 -6.4921e-37 2.98923e-37         -1.11273e-18 -2.35682e-19 -2.75393e-36 -2.65138e-36         
0.25 -8.30395e-19 2.03988e-18 -6.3893e-37 3.13922e-37         -1.11403e-18 -2.34671e-19 -2.74344e-36 -2.65292e-36         
0.3 -8.30835e-19 2.04206e-18 -6.40059e-37 3.20248e-37         -1.11539e-18 -2.33389e-19 -2.75177e-36 -2.64655e-36         
0.35 -8.31204e-19 2.04428e-18 -6.6565e-37 3.21619e-37         -1.11683e-18 -2.31835e-19 -2.73417e-36 -2.63669e-36         
0.4 -8.315e-19 2.04652e-18 -6.6759e-37 3.18287e-37         -1.11835e-18 -2.30007e-19 -2.77805e-36 -2.65233e-36         
0.45 -8.31724e-19 2.04881e-18 -6.57663e-37 3.10094e-37         -1.11993e-18 -2.27906e-19 -2.747e-36 -2.63435e-36         
0.5 -8.31875e-19 2.05112e-18 -6.57175e-37 3.15972e-37         -1.12159e-18 -2.25528e-19 -2.78376e-36 -2.65312e-36         
0.55 -8.31953e-19 2.05347e-18 -6.62788e-37 2.98936e-37         -1.12332e-18 -2.22874e-19 -2.81451e-36 -2.6387e-36         
0.6 -8.31958e-19 2.05585e-18 -6.51791e-37 3.21269e-37         -1.12511e-18 -2.19942e-19 -2.81813e-36 -2.62074e-36         
0.65 -8.31889e-19 2.05826e-18 -6.63115e-37 3.07546e-37         -1.12697e-18 -2.1673e-19 -2.8273e-36 -2.61831e-36         
0.7 -8.31746e-19 2.06071e-18 -6.53404e-37 3.13251e-37         -1.1289e-18 -2.13237e-19 -2.85046e-36 -2.60801e-36         
0.75 -8.31529e-19 2.06319e-18 -6.66909e-37 3.19174e-37         -1.13089e-18 -2.09462e-19 -2.87706e-36 -2.62838e-36         
0.8 -8.31238e-19 2.0657e-18 -6.60435e-37 3.15776e-37         -1.13294e-18 -2.05402e-19 -2.88576e-36 -2.6134e-36         
0.85 -8.30873e-19 2.06825e-18 -6.53829e-37 3.20569e-37         -1.13504e-18 -2.01056e-19 -2.88128e-36 -2.60273e-36         
0.9 -8.30432e-19 2.07083e-18 -6.62501e-37 3.26888e-37         -1.13721e-18 -1.96423e-19 -2.92012e-36 -2.59536e-36         
0.95 -8.29916e-19 2.07344e-18 -6.77889e-37 3.22733e-37         -1.13942e-18 -1.91501e-19 -2.94494e-36 -2.58713e-36         
1 -8.29325e-19 2.07609e-18 -6.67363e-37 3.36899e-37         -1.14168e-18 -1.86287e-19 -2.95398e-36 -2.56763e-36         
1.05 -8.28658e-19 2.07877e-18 -6.43738e-37 3.19014e-37         -1.14399e-18 -1.80781e-19 -2.99032e-36 -2.54187e-36         
1.1 -8.27916e-19 2.08148e-18 -6.54351e-37 3.14927e-37         -1.14634e-18 -1.74979e-19 -3.0011e-36 -2.55578e-36         
1.15 -8.27096e-19 2.08422e-18 -6.58415e-37 3.20299e-37         -1.14873e-18 -1.68881e-19 -3.01186e-36 -2.5598e-36         
1.2 -8.26201e-19 2.087e-18 -6.66301e-37 2.99992e-37         -1.15116e-18 -1.62484e-19 -3.05632e-36 -2.52231e-36         
1.25 -8.25228e-19 2.08981e-18 -6.673e-37 3.1309e-37         -1.15361e-18 -1.55786e-19 -3.07763e-36 -2.50693e-36         
1.3 -8.24179e-19 2.09265e-18 -6.58862e-37 3.28966e-37         -1.1561e-18 -1.48786e-19 -3.1203e-36 -2.49225e-36         
1.35 -8.23051e-19 2.09552e-18 -6.66439e-37 3.16993e-37         -1.1586e-18 -1.41481e-19 -3.13107e-36 -2.48968e-36         
1.4 -8.21846e-19 2.09843e-18 -6.6218e-37 3.21057e-37         -1.16113e-18 -1.33868e-19 -3.15886e-36 -2.49076e-36         
1.45 -8.20563e-19 2.10136e-18 -6.70434e-37 3.26797e-37         -1.16366e-18 -1.25947e-19 -3.21741e-36 -2.44574e-36         
1.5 -8.19201e-19 2.10434e-18 -6.7522e-37 3.17441e-37         -1.16621e-18 -1.17714e-19 -3.2191e-36 -2.43731e-36         
1.55 -8.17761e-19 2.10734e-18 -6.64223e-37 3.25901e-37         -1.16875e-18 -1.09168e-19 -3.24883e-36 -2.42202e-36         
1.6 -8.16242e-19 2.11037e-18 -6.71122e-37 3.26131e-37         -1.1713e-18 -1.00306e-19 -3.26355e-36 -2.39557e-36         
1.65 -8.14643e-19 2.11344e-18 -6.50597e-37 3.23823e-37         -1.17383e-18 -9.11262e-20 -3.34001e-36 -2.35944e-36         
1.7 -8.12964e-19 2.11653e-18 -6.67162e-37 3.28151e-37         -1.17635e-18 -8.16266e-20 -3.36162e-36 -2.33747e-36         
1.75 -8.11206e-19 2.11966e-18 -6.70434e-37 3.29586e-37         -1.17885e-18 -7.18049e-20 -3.41248e-36 -2.32948e-36         
1.8 -8.09366e-19 2.12282e-18 -6.59999e-37 3.30918e-37         -1.18132e-18 -6.16589e-20 -3.41021e-36 -2.28397e-36         
1.85 -8.07447e-19 2.12601e-18 -6.73453e-37 3.20735e-37         -1.18375e-18 -5.11866e-20 -3.45966e-36 -2.29901e-36         
1.9 -8.05446e-19 2.12923e-18 -6.49265e-37 3.23215e-37         -1.18615e-18 -4.03856e-20 -3.47861e-36 -2.25231e-36         
1.95 -8.03363e-19 2.13248e-18 -6.66267e-37 3.28863e-37         -1.18849e-18 -2.92541e-20 -3.5321e-36 -2.20373e-36         
2 -8.01199e-19 2.13576e-18 -6.82923e-37 3.3497e-37         -1.19078e-18 -1.77899e-20 -3.57196e-36 -2.20366e-36         
2.05 -7.98953e-19 2.13907e-18 -6.6179e-37 3.262e-37         -1.193e-18 -5.99099e-21 -3.61001e-36 -2.163e-36         
2.1 -7.96624e-19 2.14241e-18 -6.597e-37 3.34442e-37         -1.19516e-18 6.14451e-21 -3.64817e-36 -2.15451e-36         
2.15 -7.94212e-19 2.14578e-18 -6.71111e-37 3.35314e-37         -1.19723e-18 1.86185e-20 -3.69339e-36 -2.10065e-36         
2.2 -7.91717e-19 2.14918e-18 -6.70158e-37 3.48722e-37         -1.19921e-18 3.14329e-20 -3.72747e-36 -2.07043e-36         
2.25 -7.89138e-19 2.1526e-18 -6.79066e-37 3.54416e-37         -1.20109e-18 4.45893e-20 -3.75841e-36 -2.02562e-36         
2.3 -7.86475e-19 2.15606e-18 -6.74417e-37 3.3171e-37         -1.20287e-18 5.80894e-20 -3.82316e-36 -1.98011e-36         
2.35 -7.83728e-19 2.15954e-18 -6.79491e-37 3.35957e-37         -1.20452e-18 7.19347e-20 -3.83241e-36 -1.93442e-36         
